PA,MMM,-0.36396537720141287
PA,GE,0.1591982541239613
PA,UTX,-0.3673791518892028
PA,UNH,-0.20803904559807787
PA,WMT,-0.17448219956821728
PA,XOM,0.3202244607761293
PA,INTC,0.23377305273459403
PA,T,-0.21414504657533762
PA,JNJ,-0.15024557961853321
PA,JPM,0.12778974952437097
PA,IBM,-0.2770827469933811
PA,DD,-0.017554079286526296
PA,CAT,0.1535646272163925
PA,MSFT,-0.2098794482762154
PA,CSCO,0.1344634229611936
PA,TRV,0.26671542577123974
PA,KO,0.1491175768099687
PA,HD,-0.04602786719111953
PA,AXP,-0.012083295170259974
PA,PFE,0.10479523914499378
PA,DIS,0.1363561309762643
PA,BAC,0.3609977735413202
PA,BA,-0.04157280405515338
PA,HPQ,-0.37410079468478813
PA,AA,0.17325562153758506
PA,MRK,0.030737622239395235
PA,MCD,-0.10429270589840825
PA,PG,0.15283057880769452
PA,CVX,-0.2626714267337955
PA,VZ,0.1728985964284175
